id,y,x
Jonctiune-267,"45.24573854","27.93347802"
Jonctiune-1224,"45.24423541","27.93687853"
Jonctiune-1225,"45.24546320","27.93792991"
Jonctiune-1226,"45.24414860","27.93680295"
Jonctiune-1404,"45.24736129","27.93026227"
Jonctiune-1405,"45.24776419","27.92945508"
Jonctiune-1406,"45.24815049","27.92867743"
Jonctiune-1407,"45.24862497","27.92769933"
Jonctiune-1413,"45.24616046","27.93267670"
Jonctiune-1414,"45.25226537","27.93800091"
Jonctiune-1415,"45.24756158","27.93393510"
Jonctiune-1419,"45.25200997","27.93431527"
Jonctiune-1421,"45.25053390","27.93194745"
Jonctiune-1606,"45.24444777","27.93234022"
Jonctiune-1610,"45.24718473","27.93473582"
Jonctiune-1616,"45.24863349","27.93600119"
Jonctiune-1628,"45.25089553","27.93917345"
Jonctiune-1632,"45.24972292","27.94056853"
Jonctiune-1634,"45.25077460","27.94147262"
Jonctiune-1635,"45.24867421","27.93962250"
Jonctiune-1636,"45.24632837","27.93755924"
Jonctiune-1637,"45.24586769","27.93716315"
Jonctiune-1638,"45.24502921","27.93641730"
Jonctiune-1641,"45.24738804","27.93849691"
Jonctiune-1642,"45.25201068","27.94040131"
Jonctiune-1646,"45.25147403","27.94440617"
Jonctiune-1872,"45.24258789","27.93185332"
Jonctiune-1873,"45.24582825","27.93355174"
Jonctiune-1874,"45.25016852","27.93734053"
Jonctiune-1875,"45.25217171","27.93914660"
SenzorComunarzi-NatVech,"45.25213719","27.93904164"
Jonctiune-1877,"45.25052752","27.93765799"
Jonctiune-1995,"45.25269675","27.93613959"
Jonctiune-1996,"45.25170627","27.93526432"
Jonctiune-1997,"45.25209503","27.93451351"
Jonctiune-1998,"45.25168915","27.93533442"
Jonctiune-2176,"45.24932472","27.93449884"
Jonctiune-2177,"45.25249080","27.93716785"
SenzorCernauti-Sebesului,"45.24793499","27.93317718"
Jonctiune-2179,"45.24661125","27.93201737"
Jonctiune-2180,"45.24648785","27.93190885"
Jonctiune-2181,"45.24416878","27.92985024"
Jonctiune-2182,"45.24520581","27.93080988"
Jonctiune-2184,"45.25199480","27.93439655"
Jonctiune-2185,"45.24519099","27.92957133"
Jonctiune-2186,"45.25230523","27.93806207"
Jonctiune-2187,"45.24913751","27.93074899"
Jonctiune-2188,"45.24801335","27.92977608"
Jonctiune-2189,"45.24739797","27.92919111"
Jonctiune-2190,"45.24687198","27.92866151"
Jonctiune-2191,"45.24757878","27.92826494"
Jonctiune-2192,"45.24952562","27.92995899"
Jonctiune-2193,"45.24871531","27.93157649"
Jonctiune-2194,"45.24974802","27.93374633"
Jonctiune-2195,"45.24931571","27.93462685"
Jonctiune-2196,"45.24733921","27.93029976"
Jonctiune-2197,"45.24202131","27.93721955"
SenzorChisinau-Titulescu,"45.24333628","27.93837669"
Jonctiune-2199,"45.24617370","27.94085179"
Jonctiune-2200,"45.24620959","27.94088350"
Jonctiune-2201,"45.24811923","27.94255862"
Jonctiune-2202,"45.24776189","27.94333505"
Jonctiune-2203,"45.24851385","27.94175865"
Jonctiune-2204,"45.24890746","27.94097375"
Jonctiune-2205,"45.25153749","27.94437057"
Jonctiune-2206,"45.25158099","27.94553615"
Jonctiune-2207,"45.24699442","27.93929636"
Jonctiune-2208,"45.23906769","27.93235078"
Jonctiune-2729,"45.24010374","27.93674490"
Jonctiune-2730,"45.24164315","27.93803401"
Jonctiune-2734,"45.25228252","27.94718523"
Jonctiune-2735,"45.25199570","27.94011617"
Jonctiune-2736,"45.25162923","27.94334916"
Jonctiune-2737,"45.25171927","27.94225129"
Jonctiune-2738,"45.25146100","27.94459508"
Jonctiune-2739,"45.24753079","27.93977157"
PT2,"45.25073965","27.93930439"
Jonctiune-2743,"45.24826045","27.93670688"
Jonctiune-2744,"45.25192649","27.94037305"
Jonctiune-2749,"45.23905319","27.93228389"
Jonctiune-2750,"45.24170535","27.93353561"
Jonctiune-2751,"45.23992366","27.93192427"
Jonctiune-2752,"45.24453845","27.93594058"
Jonctiune-2753,"45.24175031","27.93352720"
Jonctiune-2755,"45.24220628","27.93264948"
Jonctiune-2756,"45.24056909","27.93592768"
Jonctiune-2773,"45.24512490","27.93874786"
Jonctiune-2774,"45.24493555","27.93503735"
Jonctiune-2776,"45.25018289","27.93285542"
Jonctiune-2777,"45.24893217","27.93541723"
Jonctiune-2879,"45.24344597","27.93029780"
Jonctiune-2911,"45.24172284","27.93350308"
Jonctiune-2967,"45.25273232","27.93552056"
Jonctiune-2968,"45.25224729","27.93876066"
Jonctiune-3067,"45.24295952","27.93914936"
Jonctiune-3068,"45.24832579","27.94045121"
Jonctiune-3074,"45.24363625","27.93397395"
Jonctiune-3075,"45.24400190","27.93309054"
Jonctiune-3386,"45.23906901","27.93227726"
Jonctiune-3422,"45.23821994","27.93266615"
Jonctiune-3425,"45.23689864","27.93387418"
Jonctiune-3446,"45.24015949","27.93671469"
Jonctiune-3448,"45.24166727","27.93798854"
Jonctiune-3458,"45.24095285","27.93514831"
Jonctiune-3460,"45.24299045","27.93908529"
Jonctiune-3461,"45.24408015","27.93674545"
Jonctiune-3463,"45.24495727","27.93508417"
Jonctiune-3464,"45.24167686","27.93106560"
SenzorComunarzi-castanului,"45.24296537","27.93105407"
Jonctiune-3466,"45.24134414","27.93435643"
Jonctiune-3467,"45.24134095","27.93429308"
Jonctiune-3470,"45.24140825","27.93195980"
Jonctiune-3471,"45.24484342","27.93154049"
Jonctiune-3510,"45.24835480","27.93234058"
Jonctiune-3566,"45.25022457","27.93274858"
Jonctiune-3912,"45.24446623","27.93232642"
Jonctiune-3913,"45.24444651","27.93233917"
Jonctiune-3917,"45.24171479","27.93803045"
Jonctiune-3920,"45.24164538","27.93797040"
Jonctiune-3921,"45.24815658","27.92866502"
Jonctiune-3956,"45.24812379","27.94260916"
Jonctiune-3961,"45.25059200","27.93200499"
Jonctiune-3967,"45.24804135","27.93295921"
Jonctiune-3972,"45.25059004","27.93770490"
Jonctiune-3974,"45.25272653","27.93551452"
Jonctiune-4595,"45.24218423","27.93257961"
Jonctiune-4602,"45.24600795","27.93488460"
Jonctiune-4614,"45.24364460","27.93380689"
Jonctiune-4615,"45.24438816","27.93231088"
Jonctiune-4618,"45.24632185","27.93870381"
Jonctiune-4619,"45.25194691","27.93988168"
Jonctiune-4706,"45.24572403","27.94163296"
Jonctiune-4723,"45.24097223","27.93511409"
Jonctiune-4731,"45.24602062","27.92914116"
Jonctiune-4742,"45.24770534","27.92957297"
Jonctiune-4743,"45.24718199","27.92903328"
Jonctiune-12372,"45.24562130","27.92996419"
Jonctiune-J-1,"45.23690129","27.93391619"
Jonctiune-J-3,"45.25238577","27.94739643"
PT3,"45.24582040","27.93501593"
PT4,"45.24522876","27.93625108"
Jonctiune-J-10,"45.24037063","27.93691461"
PT1,"45.24984780","27.94004214"
Jonctiune-J-15,"45.25179672","27.94131988"
Jonctiune-J-16,"45.24660530","27.94008887"
Jonctiune-J-19,"45.24572269","27.94187308"
Jonctiune-J-20,"45.24493353","27.93396403"
Jonctiune-J-21,"45.24435097","27.94039928"
Jonctiune-J-22,"45.24513770","27.93879898"
Jonctiune-J-23,"45.25012844","27.93277275"
Jonctiune-J-25,"45.23689179","27.93393863"
Jonctiune-J-26,"45.24068066","27.93109330"
Jonctiune-J-27,"45.23671215","27.93371888"
Jonctiune-J-31,"45.24257105","27.93190061"
Jonctiune-J-32,"45.25194093","27.94641430"
Jonctiune-J-33,"45.24287925","27.93907873"
Jonctiune-J-34,"45.24867146","27.93962907"
J-1644,"45.25183567","27.94108087"
J-3565,"45.25016774","27.93288827"
J-1640,"45.24740675","27.93845590"
197-A,"45.24423850","27.93688116"
197-B,"45.24423850","27.93688116"
198-A,"45.24736336","27.93025810"
198-B,"45.24736336","27.93025810"
199-A,"45.24776713","27.92945806"
199-B,"45.24776713","27.92945806"
200-A,"45.24776211","27.92945924"
200-B,"45.24776211","27.92945924"
201-A,"45.24776135","27.92945218"
201-B,"45.24776135","27.92945218"
202-A,"45.24815256","27.92867327"
202-B,"45.24815256","27.92867327"
203-A,"45.24815650","27.92867710"
203-B,"45.24815650","27.92867710"
205-A,"45.24616356","27.93267948"
205-B,"45.24616356","27.93267948"
206-A,"45.24756465","27.93393778"
206-B,"45.24756465","27.93393778"
207-A,"45.25226223","27.93799843"
207-B,"45.25226223","27.93799843"
210-A,"45.24445083","27.93234291"
210-B,"45.24445083","27.93234291"
212-A,"45.24718682","27.93473167"
212-B,"45.24718682","27.93473167"
213-A,"45.24718779","27.93473849"
213-B,"45.24718779","27.93473849"
214-A,"45.24718166","27.93473316"
214-B,"45.24718166","27.93473316"
215-A,"45.24574165","27.93348057"
215-B,"45.24574165","27.93348057"
216-A,"45.24574060","27.93347384"
216-B,"45.24574060","27.93347384"
217-A,"45.24863750","27.93600506"
217-B,"45.24863750","27.93600506"
218-A,"45.24863628","27.93599518"
218-B,"45.24863628","27.93599518"
226-A,"45.25089835","27.93917602"
226-B,"45.25089835","27.93917602"
228-A,"45.25089403","27.93917700"
228-B,"45.25089403","27.93917700"
229-A,"45.24973975","27.94054015"
229-B,"45.24973975","27.94054015"
230-A,"45.24867137","27.93962932"
230-B,"45.24867137","27.93962932"
231-A,"45.24632715","27.93755815"
231-B,"45.24632715","27.93755815"
232-A,"45.24739106","27.93849970"
232-B,"45.24739106","27.93849970"
233-A,"45.24738603","27.93850113"
233-B,"45.24738603","27.93850113"
235-A,"45.25200718","27.94040014"
235-B,"45.25200718","27.94040014"
236-A,"45.25147367","27.94441125"
236-B,"45.25147367","27.94441125"
237-A,"45.25147095","27.94440351"
237-B,"45.25147095","27.94440351"
240-A,"45.24583006","27.93355333"
240-B,"45.24583006","27.93355333"
241-A,"45.25216503","27.93912495"
241-B,"45.25216503","27.93912495"
242-A,"45.23907149","27.93227621"
242-B,"45.23907149","27.93227621"
243-A,"45.23905120","27.93228469"
243-B,"45.23905120","27.93228469"
244-A,"45.23905393","27.93228698"
244-B,"45.23905393","27.93228698"
245-A,"45.23822287","27.93266911"
245-B,"45.23822287","27.93266911"
246-A,"45.24010680","27.93674757"
246-B,"45.24010680","27.93674757"
247-A,"45.24220743","27.93265047"
247-B,"45.24220743","27.93265047"
248-A,"45.24220513","27.93264848"
248-B,"45.24220513","27.93264848"
249-A,"45.24257128","27.93190015"
249-B,"45.24257128","27.93190015"
250-A,"45.24257201","27.93190238"
250-B,"45.24257201","27.93190238"
251-A,"45.24133768","27.93429095"
251-B,"45.24133768","27.93429095"
253-A,"45.24814865","27.92866937"
253-B,"45.24814865","27.92866937"
254-A,"45.24444963","27.93233586"
254-B,"45.24444963","27.93233586"
255-A,"45.24447258","27.93588625"
255-B,"45.24447258","27.93588625"
256-A,"45.24167033","27.93799122"
256-B,"45.24167033","27.93799122"
257-A,"45.24166511","27.93799261"
257-B,"45.24166511","27.93799261"
258-A,"45.24952971","27.94037629"
258-B,"45.24952971","27.94037629"
259-A,"45.24812227","27.94256133"
259-B,"45.24812227","27.94256133"
260-A,"45.24811614","27.94255599"
260-B,"45.24811614","27.94255599"
261-A,"45.24812123","27.94255438"
261-B,"45.24812123","27.94255438"
263-A,"45.25022265","27.93275289"
263-B,"45.25022265","27.93275289"
264-A,"45.24793706","27.93317302"
264-B,"45.24793706","27.93317302"
265-A,"45.24793811","27.93317973"
265-B,"45.24793811","27.93317973"
266-A,"45.24793190","27.93317455"
266-B,"45.24793190","27.93317455"
267-A,"45.24793296","27.93318139"
267-B,"45.24793296","27.93318139"
268-A,"45.25214031","27.93904417"
268-B,"45.25214031","27.93904417"
269-A,"45.25213798","27.93903667"
269-B,"45.25213798","27.93903667"
270-A,"45.25213609","27.93904649"
270-B,"45.25213609","27.93904649"
271-A,"45.25059311","27.93770755"
271-B,"45.25059311","27.93770755"
275-A,"45.24944361","27.93449944"
275-B,"45.24944361","27.93449944"
276-A,"45.25077307","27.94147128"
276-B,"45.25077307","27.94147128"
279-A,"45.24170651","27.93353659"
279-B,"45.24170651","27.93353659"
280-A,"45.24208985","27.93287609"
280-B,"45.24208985","27.93287609"
281-A,"45.24258903","27.93185436"
281-B,"45.24258903","27.93185436"
282-A,"45.24258865","27.93185175"
282-B,"45.24258865","27.93185175"
283-A,"45.24258714","27.93185492"
283-B,"45.24258714","27.93185492"
286-A,"45.24600721","27.93488621"
286-B,"45.24600721","27.93488621"
287-A,"45.24503035","27.93641832"
287-B,"45.24503035","27.93641832"
288-A,"45.24502998","27.93641574"
288-B,"45.24502998","27.93641574"
290-A,"45.25273362","27.93552109"
290-B,"45.25273362","27.93552109"
291-A,"45.25273232","27.93551865"
291-B,"45.25273232","27.93551865"
877-A,"45.24740605","27.93845741"
877-B,"45.24740605","27.93845741"
748-A,"45.25273156","27.93552285"
748-B,"45.25273156","27.93552285"
760-A,"45.24570093","27.94196017"
760-B,"45.24570093","27.94196017"
763-A,"45.23904446","27.93225721"
763-B,"45.23904446","27.93225721"
